Sales Person,Country,Product,Amount,Boxes Shipped,Day,Month,Year,Price Per Box
Karlen McCaffrey,India,Fruit & Nut Bars,168.0,321,Wednesday,January,2022,0.5233644859813084
Roddy Speechley,Canada,Spicy Special Slims,1652.0,186,Wednesday,February,2022,8.881720430107526
Husein Augar,USA,Eclairs,4025.0,112,Thursday,July,2022,35.9375
Dennison Crosswaite,New Zealand,White Choc,9492.0,151,Tuesday,July,2022,62.86092715231788
Dennison Crosswaite,New Zealand,Manuka Honey Choco,5061.0,301,Wednesday,June,2022,16.813953488372093
Van Tuxwell,New Zealand,85% Dark Bars,1722.0,121,Tuesday,May,2022,14.231404958677686
Rafaelita Blaksland,UK,99% Dark & Pure,12446.0,150,Wednesday,June,2022,82.97333333333333
Wilone O'Kielt,Australia,Manuka Honey Choco,4284.0,94,Wednesday,May,2022,45.57446808510638
Karlen McCaffrey,UK,Almond Choco,6839.0,133,Thursday,June,2022,51.421052631578945
Andria Kimpton,Canada,After Nines,2163.0,70,Wednesday,May,2022,30.9
Roddy Speechley,USA,Manuka Honey Choco,9583.0,315,Friday,July,2022,30.42222222222222
Andria Kimpton,UK,50% Dark Bites,2653.0,314,Wednesday,August,2022,8.449044585987261
Kelci Walkden,New Zealand,After Nines,147.0,72,Thursday,July,2022,2.0416666666666665
Camilla Castle,Australia,85% Dark Bars,3654.0,14,Thursday,May,2022,261.0
Karlen McCaffrey,India,Manuka Honey Choco,2443.0,581,Monday,July,2022,4.204819277108434
Kelci Walkden,USA,After Nines,938.0,16,Thursday,June,2022,58.625
Karlen McCaffrey,USA,Raspberry Choco,14749.0,354,Friday,April,2022,41.663841807909606
Mallorie Waber,Canada,Choco Coated Almonds,4781.0,241,Monday,July,2022,19.83817427385892
Andria Kimpton,India,Spicy Special Slims,6307.0,142,Wednesday,February,2022,44.41549295774648
Madelene Upcott,Canada,Almond Choco,7602.0,102,Monday,August,2022,74.52941176470588
Kaine Padly,USA,Peanut Butter Cubes,6790.0,188,Wednesday,February,2022,36.11702127659574
Van Tuxwell,USA,50% Dark Bites,9737.0,160,Thursday,January,2022,60.85625
Curtice Advani,Australia,Milk Bars,6979.0,18,Monday,February,2022,387.72222222222223
Roddy Speechley,India,Eclairs,4382.0,303,Friday,June,2022,14.462046204620462
Curtice Advani,India,Fruit & Nut Bars,5243.0,176,Thursday,July,2022,29.789772727272727
Curtice Advani,Canada,Almond Choco,4865.0,70,Thursday,March,2022,69.5
Brien Boise,Australia,Fruit & Nut Bars,8575.0,23,Monday,June,2022,372.82608695652175
Dotty Strutley,Australia,Drinking Coco,91.0,135,Tuesday,July,2022,0.674074074074074
Beverie Moffet,USA,Raspberry Choco,14798.0,83,Tuesday,April,2022,178.289156626506
Marney O'Breen,India,85% Dark Bars,2205.0,179,Tuesday,July,2022,12.318435754189943
Jehu Rudeforth,Canada,Drinking Coco,441.0,24,Friday,July,2022,18.375
Ches Bonnell,New Zealand,Spicy Special Slims,3556.0,18,Monday,February,2022,197.55555555555554
Brien Boise,Canada,99% Dark & Pure,16793.0,416,Wednesday,May,2022,40.36778846153846
Barr Faughny,Australia,Fruit & Nut Bars,15421.0,55,Thursday,June,2022,280.3818181818182
Andria Kimpton,Australia,50% Dark Bites,4438.0,227,Thursday,June,2022,19.550660792951543
Andria Kimpton,Australia,Drinking Coco,1603.0,48,Tuesday,June,2022,33.395833333333336
Marney O'Breen,Australia,Organic Choco Syrup,273.0,174,Monday,May,2022,1.5689655172413792
Kelci Walkden,Canada,Baker's Choco Chips,3073.0,302,Thursday,May,2022,10.175496688741722
Karlen McCaffrey,India,Almond Choco,6090.0,149,Wednesday,July,2022,40.87248322147651
Oby Sorrel,India,99% Dark & Pure,10255.0,11,Friday,May,2022,932.2727272727273
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2030.0,11,Thursday,April,2022,184.54545454545453
Van Tuxwell,Australia,Organic Choco Syrup,19453.0,14,Wednesday,August,2022,1389.5
Camilla Castle,India,50% Dark Bites,9275.0,411,Monday,July,2022,22.5669099756691
Oby Sorrel,India,Organic Choco Syrup,6181.0,56,Friday,July,2022,110.375
Jan Morforth,USA,Peanut Butter Cubes,9037.0,102,Friday,July,2022,88.59803921568627
Gigi Bohling,USA,Choco Coated Almonds,12313.0,103,Wednesday,March,2022,119.54368932038835
Gigi Bohling,UK,Almond Choco,5642.0,9,Monday,January,2022,626.8888888888889
Jehu Rudeforth,New Zealand,White Choc,2800.0,241,Friday,March,2022,11.618257261410788
Andria Kimpton,New Zealand,Peanut Butter Cubes,959.0,265,Monday,June,2022,3.6188679245283017
Van Tuxwell,UK,Organic Choco Syrup,2002.0,214,Friday,August,2022,9.355140186915888
Roddy Speechley,Canada,Milk Bars,609.0,32,Wednesday,July,2022,19.03125
Camilla Castle,USA,Spicy Special Slims,1274.0,244,Friday,February,2022,5.221311475409836
Marney O'Breen,USA,Orange Choco,7595.0,181,Thursday,January,2022,41.96132596685083
Van Tuxwell,UK,99% Dark & Pure,4725.0,137,Monday,January,2022,34.48905109489051
Camilla Castle,USA,White Choc,9681.0,24,Thursday,August,2022,403.375
Andria Kimpton,USA,Raspberry Choco,14504.0,21,Thursday,June,2022,690.6666666666666
Dotty Strutley,Australia,Fruit & Nut Bars,280.0,311,Tuesday,August,2022,0.9003215434083601
Brien Boise,New Zealand,Mint Chip Choco,63.0,181,Monday,August,2022,0.34806629834254144
Roddy Speechley,New Zealand,After Nines,8001.0,10,Wednesday,May,2022,800.1
Roddy Speechley,Canada,Organic Choco Syrup,4032.0,82,Monday,January,2022,49.170731707317074
Dennison Crosswaite,Australia,70% Dark Bites,5859.0,108,Monday,February,2022,54.25
Karlen McCaffrey,USA,Orange Choco,11095.0,401,Thursday,May,2022,27.668329177057355
Madelene Upcott,Australia,Spicy Special Slims,7182.0,408,Monday,March,2022,17.602941176470587
Dennison Crosswaite,Australia,85% Dark Bars,6881.0,420,Tuesday,April,2022,16.383333333333333
Andria Kimpton,Canada,Caramel Stuffed Bars,7154.0,348,Monday,January,2022,20.557471264367816
Dennison Crosswaite,UK,Eclairs,6188.0,270,Thursday,March,2022,22.918518518518518
Madelene Upcott,India,Raspberry Choco,4221.0,9,Thursday,July,2022,469.0
Van Tuxwell,USA,After Nines,630.0,264,Tuesday,July,2022,2.3863636363636362
Wilone O'Kielt,Australia,Organic Choco Syrup,1743.0,111,Thursday,July,2022,15.702702702702704
Karlen McCaffrey,Canada,50% Dark Bites,2919.0,65,Friday,July,2022,44.90769230769231
Roddy Speechley,New Zealand,Orange Choco,49.0,97,Friday,April,2022,0.5051546391752577
Beverie Moffet,Australia,Eclairs,1827.0,6,Monday,June,2022,304.5
Kelci Walkden,UK,Fruit & Nut Bars,13006.0,482,Wednesday,June,2022,26.983402489626556
Marney O'Breen,USA,50% Dark Bites,1064.0,106,Wednesday,June,2022,10.037735849056604
Husein Augar,USA,After Nines,11571.0,180,Friday,April,2022,64.28333333333333
Dennison Crosswaite,Australia,Raspberry Choco,5740.0,31,Monday,March,2022,185.16129032258064
Andria Kimpton,USA,Fruit & Nut Bars,1456.0,359,Friday,July,2022,4.055710306406685
Kelci Walkden,India,Eclairs,5334.0,80,Tuesday,April,2022,66.675
Marney O'Breen,USA,99% Dark & Pure,4151.0,296,Monday,March,2022,14.02364864864865
Brien Boise,Canada,Spicy Special Slims,8106.0,101,Friday,March,2022,80.25742574257426
Karlen McCaffrey,New Zealand,70% Dark Bites,126.0,40,Tuesday,August,2022,3.15
Husein Augar,UK,Spicy Special Slims,4697.0,42,Thursday,August,2022,111.83333333333333
Marney O'Breen,USA,Almond Choco,7798.0,167,Friday,February,2022,46.69461077844311
Kelci Walkden,India,Orange Choco,9408.0,138,Tuesday,June,2022,68.17391304347827
Jan Morforth,India,Spicy Special Slims,1939.0,520,Tuesday,April,2022,3.728846153846154
Ches Bonnell,India,Spicy Special Slims,10906.0,94,Wednesday,July,2022,116.02127659574468
Kelci Walkden,UK,Smooth Sliky Salty,5929.0,175,Wednesday,January,2022,33.88
Madelene Upcott,Australia,Fruit & Nut Bars,5579.0,92,Wednesday,January,2022,60.641304347826086
Madelene Upcott,Canada,70% Dark Bites,10927.0,141,Monday,January,2022,77.49645390070921
Wilone O'Kielt,Australia,Drinking Coco,623.0,283,Wednesday,April,2022,2.2014134275618376
Gunar Cockshoot,Australia,Fruit & Nut Bars,6013.0,21,Wednesday,June,2022,286.3333333333333
Gigi Bohling,Canada,Baker's Choco Chips,1505.0,47,Friday,January,2022,32.02127659574468
Kelci Walkden,India,Caramel Stuffed Bars,476.0,125,Wednesday,March,2022,3.808
Rafaelita Blaksland,Australia,Drinking Coco,11550.0,396,Monday,February,2022,29.166666666666668
Kelci Walkden,USA,Manuka Honey Choco,17318.0,87,Wednesday,February,2022,199.05747126436782
Jehu Rudeforth,Canada,Spicy Special Slims,1848.0,27,Thursday,January,2022,68.44444444444444
Kelci Walkden,Australia,Eclairs,7273.0,547,Wednesday,March,2022,13.296160877513712
Curtice Advani,Canada,Spicy Special Slims,854.0,118,Thursday,June,2022,7.237288135593221
Oby Sorrel,India,Raspberry Choco,6832.0,46,Thursday,April,2022,148.52173913043478
Kelci Walkden,UK,Eclairs,4606.0,57,Tuesday,January,2022,80.80701754385964
Jan Morforth,India,Almond Choco,4466.0,22,Friday,March,2022,203.0
Dotty Strutley,UK,Almond Choco,16114.0,96,Thursday,July,2022,167.85416666666666
Marney O'Breen,New Zealand,After Nines,1561.0,44,Wednesday,March,2022,35.47727272727273
Husein Augar,Australia,Orange Choco,8897.0,188,Tuesday,June,2022,47.32446808510638
Marney O'Breen,Australia,Milk Bars,2464.0,387,Thursday,July,2022,6.366925064599483
Kelci Walkden,Canada,99% Dark & Pure,4830.0,50,Monday,August,2022,96.6
Kaine Padly,Australia,Manuka Honey Choco,2765.0,264,Wednesday,January,2022,10.473484848484848
Beverie Moffet,New Zealand,White Choc,7126.0,7,Thursday,March,2022,1018.0
Van Tuxwell,UK,Milk Bars,4263.0,90,Monday,July,2022,47.36666666666667
Oby Sorrel,Canada,99% Dark & Pure,3605.0,403,Monday,August,2022,8.945409429280398
Van Tuxwell,India,Organic Choco Syrup,19929.0,174,Monday,May,2022,114.53448275862068
Roddy Speechley,India,Smooth Sliky Salty,5103.0,140,Wednesday,August,2022,36.45
Jan Morforth,India,Eclairs,2541.0,27,Wednesday,January,2022,94.11111111111111
Ches Bonnell,UK,Smooth Sliky Salty,5663.0,110,Monday,July,2022,51.481818181818184
Wilone O'Kielt,USA,After Nines,392.0,30,Monday,April,2022,13.066666666666666
Gigi Bohling,New Zealand,Fruit & Nut Bars,10976.0,121,Monday,April,2022,90.7107438016529
Barr Faughny,USA,Raspberry Choco,9282.0,101,Tuesday,April,2022,91.9009900990099
Wilone O'Kielt,New Zealand,85% Dark Bars,1827.0,117,Tuesday,August,2022,15.615384615384615
Gigi Bohling,New Zealand,Manuka Honey Choco,8267.0,272,Tuesday,June,2022,30.393382352941178
Ches Bonnell,Australia,Eclairs,4116.0,128,Tuesday,July,2022,32.15625
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2093.0,45,Tuesday,June,2022,46.51111111111111
Brien Boise,New Zealand,Smooth Sliky Salty,1015.0,27,Tuesday,January,2022,37.592592592592595
Brien Boise,Australia,Baker's Choco Chips,12516.0,212,Tuesday,January,2022,59.0377358490566
Dennison Crosswaite,Australia,99% Dark & Pure,2758.0,18,Monday,January,2022,153.22222222222223
Kelci Walkden,India,Almond Choco,3297.0,149,Monday,March,2022,22.12751677852349
Camilla Castle,Australia,70% Dark Bites,6048.0,477,Friday,April,2022,12.679245283018869
Oby Sorrel,India,Smooth Sliky Salty,10101.0,108,Monday,February,2022,93.52777777777777
Kaine Padly,UK,Organic Choco Syrup,2282.0,178,Thursday,March,2022,12.820224719101123
Marney O'Breen,India,Caramel Stuffed Bars,4361.0,81,Wednesday,March,2022,53.839506172839506
Karlen McCaffrey,UK,Eclairs,7798.0,196,Tuesday,January,2022,39.785714285714285
Van Tuxwell,India,Baker's Choco Chips,3052.0,447,Monday,June,2022,6.827740492170022
Gigi Bohling,UK,After Nines,8029.0,175,Tuesday,March,2022,45.88
Curtice Advani,Australia,Orange Choco,854.0,136,Tuesday,July,2022,6.279411764705882
Jehu Rudeforth,Canada,Smooth Sliky Salty,5460.0,138,Monday,July,2022,39.56521739130435
Karlen McCaffrey,Canada,Smooth Sliky Salty,3017.0,184,Wednesday,January,2022,16.39673913043478
Andria Kimpton,USA,85% Dark Bars,8911.0,82,Tuesday,April,2022,108.67073170731707
Jehu Rudeforth,Canada,Milk Bars,7203.0,12,Monday,February,2022,600.25
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,13083.0,14,Friday,May,2022,934.5
Mallorie Waber,Australia,Milk Bars,2779.0,104,Friday,July,2022,26.721153846153847
Barr Faughny,USA,Fruit & Nut Bars,9058.0,46,Friday,January,2022,196.91304347826087
Marney O'Breen,UK,Caramel Stuffed Bars,3549.0,112,Tuesday,July,2022,31.6875
Mallorie Waber,New Zealand,Manuka Honey Choco,9436.0,11,Wednesday,April,2022,857.8181818181819
Roddy Speechley,India,Peanut Butter Cubes,10283.0,21,Friday,February,2022,489.6666666666667
Roddy Speechley,New Zealand,Milk Bars,5446.0,116,Wednesday,March,2022,46.94827586206897
Ches Bonnell,Australia,White Choc,1043.0,202,Wednesday,March,2022,5.163366336633663
Van Tuxwell,USA,99% Dark & Pure,12586.0,6,Thursday,July,2022,2097.6666666666665
Kelci Walkden,India,After Nines,1687.0,520,Friday,January,2022,3.2442307692307693
Brien Boise,UK,White Choc,5299.0,167,Tuesday,April,2022,31.730538922155688
Van Tuxwell,Canada,Almond Choco,3213.0,72,Monday,June,2022,44.625
Jehu Rudeforth,Australia,50% Dark Bites,5194.0,418,Friday,January,2022,12.425837320574162
Karlen McCaffrey,UK,Baker's Choco Chips,4753.0,389,Monday,February,2022,12.218508997429305
Jehu Rudeforth,Australia,Orange Choco,13706.0,26,Wednesday,March,2022,527.1538461538462
Marney O'Breen,India,Peanut Butter Cubes,6489.0,146,Monday,January,2022,44.445205479452056
Oby Sorrel,UK,Choco Coated Almonds,9324.0,41,Thursday,March,2022,227.41463414634146
Gigi Bohling,USA,Spicy Special Slims,10829.0,54,Friday,January,2022,200.53703703703704
Barr Faughny,Australia,White Choc,8113.0,370,Monday,July,2022,21.927027027027027
Kaine Padly,Canada,Peanut Butter Cubes,3269.0,176,Monday,July,2022,18.573863636363637
Dotty Strutley,USA,Manuka Honey Choco,273.0,210,Wednesday,August,2022,1.3
Dennison Crosswaite,Australia,50% Dark Bites,7287.0,12,Friday,April,2022,607.25
Gigi Bohling,India,Raspberry Choco,2583.0,159,Tuesday,February,2022,16.245283018867923
Camilla Castle,UK,White Choc,9982.0,187,Monday,January,2022,53.37967914438503
Karlen McCaffrey,India,Drinking Coco,4795.0,233,Tuesday,May,2022,20.5793991416309
Dotty Strutley,UK,99% Dark & Pure,9310.0,282,Monday,January,2022,33.01418439716312
Husein Augar,New Zealand,Caramel Stuffed Bars,497.0,475,Thursday,January,2022,1.0463157894736843
Barr Faughny,UK,50% Dark Bites,581.0,65,Friday,January,2022,8.938461538461539
Curtice Advani,Australia,Organic Choco Syrup,3472.0,311,Tuesday,June,2022,11.163987138263666
Husein Augar,UK,Choco Coated Almonds,4333.0,43,Wednesday,March,2022,100.76744186046511
Wilone O'Kielt,Australia,After Nines,3325.0,26,Friday,May,2022,127.88461538461539
Dennison Crosswaite,USA,Almond Choco,11718.0,84,Thursday,June,2022,139.5
Barr Faughny,Canada,Peanut Butter Cubes,2100.0,78,Tuesday,June,2022,26.923076923076923
Kaine Padly,USA,70% Dark Bites,4018.0,100,Thursday,May,2022,40.18
Barr Faughny,New Zealand,Raspberry Choco,6468.0,66,Friday,July,2022,98.0
Dennison Crosswaite,UK,White Choc,7238.0,265,Wednesday,August,2022,27.31320754716981
Barr Faughny,India,Baker's Choco Chips,6454.0,141,Thursday,August,2022,45.773049645390074
Van Tuxwell,New Zealand,Smooth Sliky Salty,3115.0,42,Tuesday,June,2022,74.16666666666667
Beverie Moffet,UK,White Choc,6475.0,76,Thursday,June,2022,85.19736842105263
Camilla Castle,New Zealand,Mint Chip Choco,1162.0,190,Monday,June,2022,6.11578947368421
Ches Bonnell,UK,Orange Choco,14238.0,54,Wednesday,April,2022,263.6666666666667
Jan Morforth,Australia,White Choc,3472.0,32,Wednesday,July,2022,108.5
Mallorie Waber,Canada,85% Dark Bars,1428.0,424,Wednesday,April,2022,3.3679245283018866
Rafaelita Blaksland,India,Spicy Special Slims,8064.0,134,Tuesday,January,2022,60.17910447761194
Ches Bonnell,Australia,Mint Chip Choco,9660.0,92,Monday,February,2022,105.0
Karlen McCaffrey,Australia,White Choc,7357.0,48,Wednesday,January,2022,153.27083333333334
Beverie Moffet,India,Drinking Coco,6055.0,46,Friday,July,2022,131.6304347826087
Brien Boise,Australia,Choco Coated Almonds,5124.0,62,Wednesday,May,2022,82.64516129032258
Karlen McCaffrey,Canada,Eclairs,3479.0,358,Wednesday,April,2022,9.717877094972067
Gigi Bohling,USA,99% Dark & Pure,784.0,249,Thursday,June,2022,3.1485943775100402
Marney O'Breen,UK,Smooth Sliky Salty,18991.0,88,Friday,May,2022,215.8068181818182
Beverie Moffet,New Zealand,Baker's Choco Chips,1372.0,144,Wednesday,August,2022,9.527777777777779
Beverie Moffet,Australia,Milk Bars,735.0,390,Wednesday,May,2022,1.8846153846153846
Van Tuxwell,UK,Raspberry Choco,6538.0,79,Wednesday,March,2022,82.75949367088607
Jan Morforth,Australia,Orange Choco,3199.0,122,Monday,July,2022,26.221311475409838
Jehu Rudeforth,India,50% Dark Bites,3472.0,135,Tuesday,July,2022,25.71851851851852
Madelene Upcott,USA,After Nines,4571.0,430,Tuesday,March,2022,10.630232558139534
Barr Faughny,UK,Raspberry Choco,5481.0,69,Monday,August,2022,79.43478260869566
Ches Bonnell,Australia,70% Dark Bites,3136.0,125,Wednesday,January,2022,25.088
Marney O'Breen,UK,Baker's Choco Chips,252.0,154,Friday,June,2022,1.6363636363636365
Kaine Padly,Australia,Peanut Butter Cubes,5460.0,286,Friday,March,2022,19.09090909090909
Rafaelita Blaksland,India,Almond Choco,3395.0,99,Wednesday,July,2022,34.292929292929294
Husein Augar,UK,Caramel Stuffed Bars,14938.0,433,Friday,April,2022,34.49884526558891
Roddy Speechley,India,Orange Choco,4053.0,19,Monday,June,2022,213.31578947368422
Jehu Rudeforth,UK,70% Dark Bites,5565.0,258,Thursday,April,2022,21.569767441860463
Husein Augar,Australia,Manuka Honey Choco,7161.0,92,Tuesday,March,2022,77.83695652173913
Madelene Upcott,USA,Eclairs,8883.0,200,Friday,March,2022,44.415
Brien Boise,India,Eclairs,1351.0,61,Friday,April,2022,22.147540983606557
Mallorie Waber,New Zealand,White Choc,3171.0,246,Friday,February,2022,12.890243902439025
Husein Augar,USA,Milk Bars,854.0,56,Wednesday,March,2022,15.25
Van Tuxwell,Australia,Milk Bars,7910.0,87,Monday,June,2022,90.91954022988506
Beverie Moffet,Canada,White Choc,9275.0,173,Friday,July,2022,53.61271676300578
Dotty Strutley,Australia,50% Dark Bites,3108.0,252,Thursday,May,2022,12.333333333333334
Mallorie Waber,New Zealand,Organic Choco Syrup,5075.0,256,Friday,July,2022,19.82421875
Husein Augar,USA,85% Dark Bars,378.0,54,Monday,August,2022,7.0
Madelene Upcott,Australia,50% Dark Bites,7350.0,6,Monday,July,2022,1225.0
Wilone O'Kielt,UK,Drinking Coco,3388.0,55,Wednesday,May,2022,61.6
Camilla Castle,India,Peanut Butter Cubes,11837.0,277,Friday,July,2022,42.73285198555957
Curtice Advani,India,70% Dark Bites,2282.0,44,Tuesday,July,2022,51.86363636363637
Mallorie Waber,USA,Manuka Honey Choco,5425.0,96,Monday,July,2022,56.510416666666664
Dotty Strutley,UK,70% Dark Bites,1267.0,216,Monday,June,2022,5.8657407407407405
Gunar Cockshoot,Australia,Almond Choco,3752.0,424,Tuesday,January,2022,8.849056603773585
Kaine Padly,New Zealand,Spicy Special Slims,7728.0,37,Friday,July,2022,208.86486486486487
Gigi Bohling,USA,50% Dark Bites,2296.0,59,Wednesday,April,2022,38.91525423728814
Beverie Moffet,UK,Smooth Sliky Salty,4403.0,76,Wednesday,May,2022,57.93421052631579
Beverie Moffet,Australia,Baker's Choco Chips,3192.0,109,Thursday,August,2022,29.28440366972477
Beverie Moffet,India,70% Dark Bites,448.0,146,Wednesday,June,2022,3.0684931506849313
Jehu Rudeforth,UK,Choco Coated Almonds,4270.0,185,Friday,April,2022,23.08108108108108
Kaine Padly,USA,50% Dark Bites,70.0,27,Wednesday,August,2022,2.5925925925925926
Ches Bonnell,USA,Orange Choco,1743.0,69,Friday,June,2022,25.26086956521739
Gunar Cockshoot,UK,Manuka Honey Choco,6762.0,46,Monday,June,2022,147.0
Marney O'Breen,Australia,Smooth Sliky Salty,3745.0,170,Monday,January,2022,22.029411764705884
Marney O'Breen,India,After Nines,2639.0,179,Monday,July,2022,14.743016759776536
Ches Bonnell,New Zealand,Milk Bars,4389.0,126,Wednesday,August,2022,34.833333333333336
Rafaelita Blaksland,USA,Fruit & Nut Bars,2604.0,65,Tuesday,January,2022,40.06153846153846
Ches Bonnell,India,Organic Choco Syrup,16569.0,99,Tuesday,March,2022,167.36363636363637
Mallorie Waber,Australia,Orange Choco,14658.0,275,Monday,March,2022,53.301818181818184
Husein Augar,India,70% Dark Bites,6454.0,157,Monday,May,2022,41.10828025477707
Barr Faughny,New Zealand,85% Dark Bars,2100.0,157,Monday,May,2022,13.375796178343949
Madelene Upcott,UK,Caramel Stuffed Bars,161.0,145,Friday,April,2022,1.110344827586207
Gigi Bohling,Australia,Drinking Coco,2807.0,139,Wednesday,July,2022,20.194244604316548
Marney O'Breen,Canada,Choco Coated Almonds,2639.0,406,Monday,August,2022,6.5
Ches Bonnell,USA,70% Dark Bites,4571.0,122,Wednesday,May,2022,37.467213114754095
Madelene Upcott,India,Organic Choco Syrup,4781.0,38,Wednesday,January,2022,125.8157894736842
Barr Faughny,USA,50% Dark Bites,13034.0,117,Thursday,April,2022,111.4017094017094
Dennison Crosswaite,New Zealand,Mint Chip Choco,6454.0,417,Tuesday,April,2022,15.477218225419664
Marney O'Breen,New Zealand,Smooth Sliky Salty,8484.0,57,Tuesday,June,2022,148.8421052631579
Brien Boise,Canada,Almond Choco,4781.0,125,Wednesday,April,2022,38.248
Beverie Moffet,Australia,White Choc,2240.0,166,Monday,June,2022,13.493975903614459
Dotty Strutley,Australia,Eclairs,6979.0,3,Wednesday,January,2022,2326.3333333333335
Barr Faughny,UK,White Choc,1652.0,72,Tuesday,July,2022,22.944444444444443
Beverie Moffet,Canada,Baker's Choco Chips,13447.0,95,Tuesday,January,2022,141.54736842105262
Kelci Walkden,USA,White Choc,9422.0,22,Monday,March,2022,428.27272727272725
Kaine Padly,Canada,50% Dark Bites,8687.0,100,Friday,March,2022,86.87
Karlen McCaffrey,Canada,Organic Choco Syrup,2415.0,312,Friday,July,2022,7.740384615384615
Kaine Padly,UK,Peanut Butter Cubes,6272.0,86,Wednesday,May,2022,72.93023255813954
Karlen McCaffrey,USA,Milk Bars,4389.0,7,Thursday,January,2022,627.0
Karlen McCaffrey,India,Orange Choco,3122.0,149,Monday,June,2022,20.953020134228186
Ches Bonnell,India,Smooth Sliky Salty,8043.0,18,Wednesday,August,2022,446.8333333333333
Wilone O'Kielt,New Zealand,Mint Chip Choco,11662.0,242,Friday,August,2022,48.1900826446281
Wilone O'Kielt,Australia,Fruit & Nut Bars,392.0,102,Wednesday,June,2022,3.843137254901961
Dennison Crosswaite,UK,Peanut Butter Cubes,8925.0,158,Monday,February,2022,56.4873417721519
Karlen McCaffrey,Australia,Almond Choco,7294.0,128,Friday,July,2022,56.984375
Dennison Crosswaite,India,Milk Bars,1526.0,96,Thursday,April,2022,15.895833333333334
Ches Bonnell,UK,Mint Chip Choco,2688.0,209,Friday,April,2022,12.861244019138756
Husein Augar,Australia,50% Dark Bites,14889.0,52,Friday,August,2022,286.3269230769231
Jan Morforth,India,Fruit & Nut Bars,2912.0,55,Wednesday,May,2022,52.945454545454545
Mallorie Waber,USA,85% Dark Bars,2632.0,108,Wednesday,May,2022,24.37037037037037
Mallorie Waber,USA,Eclairs,6328.0,51,Tuesday,March,2022,124.07843137254902
Dennison Crosswaite,Canada,Spicy Special Slims,2527.0,216,Wednesday,August,2022,11.699074074074074
Dennison Crosswaite,USA,Fruit & Nut Bars,1414.0,318,Wednesday,May,2022,4.446540880503145
Kelci Walkden,USA,99% Dark & Pure,7714.0,238,Thursday,August,2022,32.411764705882355
Dotty Strutley,Canada,Raspberry Choco,4347.0,238,Wednesday,August,2022,18.264705882352942
Marney O'Breen,New Zealand,Milk Bars,7490.0,315,Friday,January,2022,23.77777777777778
Madelene Upcott,Australia,Choco Coated Almonds,2058.0,72,Friday,April,2022,28.583333333333332
Kelci Walkden,UK,Orange Choco,3640.0,3,Monday,August,2022,1213.3333333333333
Dennison Crosswaite,Canada,Eclairs,455.0,45,Tuesday,March,2022,10.11111111111111
Karlen McCaffrey,India,Mint Chip Choco,10990.0,184,Friday,July,2022,59.72826086956522
Barr Faughny,New Zealand,Almond Choco,5558.0,127,Thursday,January,2022,43.76377952755905
